CNT,ISO,bf_03G4,bf_03G4_se,bf_03G8,bf_03G8_se,bf_07G4,bf_07G4_se,bf_07G8,bf_07G8_se,bf_11G4,bf_11G4_se,bf_11G8,bf_11G8_se,bf_15G4,bf_15G4_se,bf_15G8,bf_15G8_se
36,AUS,-0.243,0.029,-0.374,0.04,-0.209,0.029,-0.435,0.038,-0.22,0.024,-0.395,0.034,-0.251,0.026,-0.229,0.031
40,AUT,NA,NA,NA,NA,-0.199,0.024,NA,NA,-0.18,0.025,NA,NA,NA,NA,NA,NA
124,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.186,0.017,-0.289,0.026
152,CHL,NA,NA,-0.488,0.039,NA,NA,NA,NA,-0.282,0.025,-0.56,0.038,-0.238,0.033,-0.465,0.032
203,CZE,NA,NA,NA,NA,-0.173,0.032,-0.395,0.041,-0.188,0.04,NA,NA,-0.198,0.024,NA,NA
208,DNK,NA,NA,NA,NA,-0.124,0.029,NA,NA,-0.227,0.037,NA,NA,-0.175,0.027,NA,NA
233,EST,NA,NA,-0.299,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,FIN,NA,NA,NA,NA,NA,NA,NA,NA,-0.156,0.024,-0.172,0.027,-0.064,0.022,NA,NA
250,FRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.236,0.025,NA,NA
276,DEU,NA,NA,NA,NA,-0.298,0.049,NA,NA,-0.322,0.043,NA,NA,-0.204,0.028,NA,NA
348,HUN,-0.336,0.035,-0.431,0.041,-0.268,0.03,-0.308,0.042,-0.347,0.042,-0.439,0.055,-0.36,0.042,-0.422,0.052
372,IRL,NA,NA,NA,NA,NA,NA,NA,NA,-0.168,0.022,NA,NA,-0.192,0.028,-0.269,0.053
376,ISR,NA,NA,-0.197,0.029,NA,NA,-0.177,0.036,NA,NA,-0.23,0.031,NA,NA,-0.293,0.036
380,ITA,-0.265,0.035,-0.378,0.031,-0.297,0.034,-0.353,0.045,-0.18,0.026,-0.397,0.034,-0.155,0.026,-0.325,0.033
392,JPN,-0.074,0.022,-0.185,0.035,-0.078,0.025,-0.214,0.047,-0.079,0.021,-0.193,0.031,-0.109,0.024,-0.269,0.039
410,KOR,NA,NA,-0.088,0.02,NA,NA,-0.13,0.025,-0.047,0.018,-0.139,0.017,-0.106,0.026,-0.113,0.021
528,NLD,-0.172,0.037,-0.898,0.067,-0.209,0.035,NA,NA,-0.257,0.042,NA,NA,-0.226,0.03,NA,NA
554,NZL,-0.246,0.028,-0.419,0.036,-0.21,0.021,NA,NA,-0.221,0.025,-0.385,0.042,-0.254,0.024,-0.25,0.028
578,NOR,-0.093,0.024,-0.114,0.024,-0.079,0.024,-0.115,0.018,-0.106,0.026,-0.221,0.034,-0.144,0.019,-0.151,0.023
616,POL,NA,NA,NA,NA,NA,NA,NA,NA,-0.152,0.022,NA,NA,-0.15,0.027,NA,NA
620,PRT,NA,NA,NA,NA,NA,NA,NA,NA,-0.213,0.046,NA,NA,-0.155,0.025,NA,NA
926,ENG,-0.159,0.028,-0.237,0.053,-0.155,0.027,-0.185,0.034,-0.225,0.029,-0.339,0.045,-0.184,0.03,-0.273,0.046
927,SCT,-0.158,0.025,-0.281,0.044,-0.124,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,SVK,NA,NA,-0.56,0.042,-0.191,0.052,NA,NA,-0.229,0.034,NA,NA,-0.262,0.028,NA,NA
705,SVN,-0.139,0.026,-0.192,0.029,-0.098,0.024,NA,NA,-0.099,0.033,-0.149,0.026,-0.149,0.029,-0.186,0.027
724,ESP,NA,NA,NA,NA,NA,NA,NA,NA,-0.132,0.035,NA,NA,-0.187,0.025,NA,NA
752,SWE,NA,NA,-0.15,0.029,-0.146,0.024,NA,NA,-0.17,0.026,-0.265,0.032,-0.18,0.031,-0.295,0.057
840,USA,-0.191,0.017,-0.199,0.025,-0.175,0.023,NA,NA,-0.205,0.02,-0.378,0.027,-0.202,0.018,-0.17,0.023
